Vicon Pose Position (t_x);t_y;t_z;Vicon Pose Quat (q_w);q_x;q_y;q_z
0.92988;-0.625734;1.13264;0.727814;-0.0125509;-0.012929;0.685538
0.935445;-0.625789;1.1333;0.727663;-0.0131056;-0.0128537;0.68569
0.941198;-0.625786;1.13394;0.727404;-0.0137156;-0.0135081;0.68594
0.947037;-0.62579;1.13447;0.727387;-0.0146522;-0.014128;0.685925
0.952735;-0.625713;1.13472;0.727453;-0.0155058;-0.0139812;0.68584
0.964651;-0.625657;1.13485;0.727202;-0.0166595;-0.0144467;0.686069
0.970614;-0.625625;1.13469;0.727269;-0.0171379;-0.0146624;0.685982
0.976579;-0.625467;1.1344;0.726958;-0.0175749;-0.0151166;0.68629
0.982481;-0.62543;1.1339;0.726931;-0.0180383;-0.015332;0.686302
0.994854;-0.625549;1.13247;0.726267;-0.0190454;-0.0148369;0.686989
1.01333;-0.625709;1.12882;0.725797;-0.0202964;-0.0132322;0.687482
1.02605;-0.626185;1.12554;0.725438;-0.0193107;-0.0128364;0.687896
1.03266;-0.626307;1.12356;0.724958;-0.0193325;-0.0120088;0.688417
1.03926;-0.626512;1.12155;0.72466;-0.0179479;-0.0120129;0.688768
1.04593;-0.626944;1.11948;0.724266;-0.0178004;-0.0113653;0.689197
1.05275;-0.627395;1.11723;0.724172;-0.0169977;-0.0105024;0.68933
1.06647;-0.628471;1.11267;0.723764;-0.0155596;-0.0102433;0.689796
1.07335;-0.629177;1.11025;0.723555;-0.0149451;-0.00888787;0.690048
1.08044;-0.629961;1.10787;0.723377;-0.0141433;-0.00825735;0.690259
1.08746;-0.63078;1.1054;0.723201;-0.0133196;-0.00804724;0.690462
1.09479;-0.631756;1.10305;0.723135;-0.0122551;-0.00781772;0.690554
1.10206;-0.632781;1.10056;0.723091;-0.0112052;-0.00722047;0.690624
1.11698;-0.635098;1.09593;0.723213;-0.0083584;-0.00737046;0.690535
1.12455;-0.636509;1.09372;0.723397;-0.00692758;-0.00744594;0.690357
1.13205;-0.637913;1.09157;0.723813;-0.00580306;-0.00767136;0.68993
1.13984;-0.639316;1.08955;0.724038;-0.00418324;-0.00808166;0.6897
1.15579;-0.642183;1.0859;0.724383;-0.000175835;-0.00925333;0.689336
1.17188;-0.645234;1.08293;0.725252;0.00354695;-0.0107267;0.688391
1.18031;-0.646722;1.08163;0.725603;0.00599551;-0.0119716;0.687983
1.18862;-0.648129;1.08074;0.726163;0.00845419;-0.0133451;0.687341
1.19686;-0.649148;1.07997;0.725758;0.0105441;-0.0139162;0.687728
1.21379;-0.651398;1.07947;0.725675;0.013754;-0.0154489;0.687727
1.22206;-0.652275;1.07961;0.72591;0.0149714;-0.0165414;0.687428
1.2305;-0.65307;1.07993;0.725855;0.0162061;-0.0169119;0.687449
1.23889;-0.653803;1.08066;0.725649;0.0173441;-0.0172372;0.687631
1.25516;-0.654774;1.08296;0.725467;0.0182306;-0.0174112;0.687795
1.26322;-0.654981;1.08447;0.724713;0.0186028;-0.017479;0.688578
1.27115;-0.655152;1.08626;0.724283;0.0186086;-0.0176125;0.689026
1.27896;-0.655147;1.08839;0.723614;0.0181357;-0.0174794;0.689745
1.28672;-0.655009;1.09076;0.723053;0.0180508;-0.0175466;0.690333
1.29426;-0.654721;1.09336;0.722215;0.0174599;-0.0179507;0.691215
1.30919;-0.653961;1.09927;0.720343;0.0151779;-0.0184429;0.693206
1.31648;-0.653545;1.10262;0.719514;0.0132792;-0.0191415;0.694087
1.32379;-0.653086;1.10606;0.718588;0.0116357;-0.0199124;0.695054
1.33093;-0.65259;1.1098;0.717663;0.00896967;-0.0204007;0.696033
1.34504;-0.651649;1.11726;0.715832;0.00353201;-0.0220866;0.697914
1.35194;-0.651159;1.12099;0.715046;0.000750174;-0.0232469;0.69869
1.35875;-0.650816;1.12467;0.714245;-0.00229745;-0.0237559;0.699488
1.36546;-0.650474;1.12805;0.713592;-0.00441165;-0.0246772;0.700113
1.37215;-0.650167;1.13152;0.712776;-0.00718861;-0.0252043;0.700902
1.38517;-0.649596;1.13761;0.711449;-0.0109924;-0.0269707;0.702134
1.39163;-0.64938;1.14021;0.710937;-0.012237;-0.0278709;0.702596
1.39788;-0.649024;1.14258;0.710252;-0.0132825;-0.0283192;0.703252
1.40437;-0.648776;1.14467;0.709423;-0.0141134;-0.0284834;0.704065
1.4107;-0.648813;1.14651;0.709343;-0.0152002;-0.0287363;0.704114
1.41709;-0.648643;1.1479;0.708894;-0.0147426;-0.0284143;0.704588
1.42983;-0.64821;1.15015;0.707497;-0.015903;-0.026844;0.706028
1.43647;-0.648194;1.15103;0.706928;-0.0163197;-0.0259786;0.706619
1.44292;-0.648113;1.15164;0.706273;-0.0170263;-0.0247656;0.707301
1.44949;-0.648242;1.15216;0.70619;-0.0174364;-0.0237568;0.707408
1.45583;-0.648209;1.15238;0.705859;-0.0175951;-0.0228787;0.707764
1.46902;-0.648255;1.15259;0.70494;-0.0179979;-0.0216254;0.708709
1.47557;-0.64832;1.15236;0.704686;-0.0181849;-0.020791;0.708981
1.48213;-0.648486;1.15199;0.704452;-0.0181168;-0.020123;0.709235
1.48885;-0.648706;1.15153;0.704166;-0.0181452;-0.0195778;0.709533
1.5024;-0.6493;1.15003;0.704059;-0.0174024;-0.018641;0.709683
1.50909;-0.649976;1.14953;0.704062;-0.0178581;-0.0192393;0.709653
1.51596;-0.650383;1.14845;0.704218;-0.0171868;-0.0193821;0.709511
1.523;-0.651048;1.14759;0.704203;-0.0178474;-0.0185269;0.709533
1.52995;-0.651609;1.14628;0.704431;-0.017603;-0.0186818;0.709308
1.53712;-0.652529;1.14491;0.704711;-0.0179223;-0.0177185;0.709046
1.55148;-0.654269;1.14209;0.704958;-0.0178128;-0.0174791;0.708809
1.55868;-0.655297;1.14045;0.705683;-0.017496;-0.0172732;0.708101
1.56598;-0.656084;1.13861;0.705843;-0.0177321;-0.0172732;0.707935
1.57335;-0.657123;1.13688;0.706272;-0.0171905;-0.0172311;0.707522
1.58846;-0.659481;1.13297;0.707687;-0.0164437;-0.0169341;0.706131
1.59606;-0.660674;1.13101;0.70848;-0.0159144;-0.0175339;0.705334
1.6037;-0.661881;1.12913;0.709286;-0.0160152;-0.0171256;0.704531
1.61157;-0.662958;1.12695;0.709627;-0.0144679;-0.0171059;0.704221
1.61947;-0.664071;1.12477;0.710239;-0.0137846;-0.0175412;0.703607
1.63511;-0.66595;1.12042;0.711956;-0.0124817;-0.0180899;0.70188
1.64311;-0.666774;1.11812;0.712733;-0.0115462;-0.0183886;0.701099
1.65124;-0.667555;1.11599;0.713333;-0.0102239;-0.0186297;0.700503
1.65951;-0.668199;1.11396;0.713805;-0.0101622;-0.0190868;0.700011
1.66735;-0.668649;1.11169;0.714343;-0.00869771;-0.0184964;0.699497
1.67543;-0.669342;1.10964;0.71467;-0.00751407;-0.0179253;0.699192
1.69196;-0.669662;1.10573;0.714702;-0.00576782;-0.0168673;0.699202
1.70034;-0.669643;1.10383;0.714851;-0.00479852;-0.0161765;0.699073
1.7087;-0.669657;1.10219;0.714776;-0.0042632;-0.0145898;0.699188
1.71713;-0.669716;1.10078;0.714941;-0.00375885;-0.0139349;0.699036
1.72533;-0.669706;1.09951;0.714793;-0.00307343;-0.0123434;0.699221
1.74206;-0.669707;1.0975;0.714642;-0.00204381;-0.0090592;0.699429
1.75037;-0.669656;1.09689;0.714692;-0.00179415;-0.00864266;0.699383
1.75876;-0.669757;1.0966;0.714694;-0.00134929;-0.00775881;0.699393
1.76707;-0.669939;1.09651;0.714808;-0.000898173;-0.00723357;0.699282
1.77545;-0.67033;1.09669;0.714928;-0.000552091;-0.00625668;0.69917
1.79144;-0.671355;1.09782;0.715811;0.000519824;-0.00564591;0.698271
1.79924;-0.672075;1.09875;0.716406;0.00133703;-0.00587939;0.697657
1.80691;-0.672927;1.09982;0.717054;0.00213972;-0.00613442;0.696988
1.8144;-0.673901;1.10129;0.717745;0.00280973;-0.00591422;0.696275
1.82913;-0.676351;1.10494;0.719702;0.00382633;-0.00810568;0.694225
1.83637;-0.677789;1.10713;0.72074;0.00382639;-0.00901566;0.693136
