Ros wall_time;Angle Actuator 1 (deg);Angle Actuator 2 (deg);Angle Actuator 3 (deg);Angle Actuator 4 (deg);Angle Actuator 5 (deg);Angle Actuator 6 (deg);Angle Actuator 7 (deg)
1557073546481369230;-1252.14;229.616;1577.27;77.6583;-1186.08;235.381;240.17
1557073546501414891;-1252.14;229.616;1577.27;77.6583;-1186.08;235.381;240.17
1557073546521502121;-1252.17;229.788;1577.48;78.2752;-1185.59;235.378;239.087
1557073546541571960;-1252.17;229.788;1577.48;78.2752;-1185.59;235.378;239.087
1557073546561581191;-1252.17;229.788;1577.48;78.2752;-1185.59;235.378;239.087
1557073546581375627;-1252.17;229.788;1577.48;78.2752;-1185.59;235.378;239.087
1557073546601434066;-1252.17;229.965;1577.7;78.9072;-1185.09;235.378;238.129
1557073546621435923;-1252.17;229.965;1577.7;78.9072;-1185.09;235.378;238.129
1557073546641571999;-1252.17;229.965;1577.7;78.9072;-1185.09;235.378;238.129
1557073546661571414;-1252.17;229.965;1577.7;78.9072;-1185.09;235.378;238.129
1557073546681373267;-1252.17;229.965;1577.7;78.9072;-1185.09;235.378;238.129
1557073546701411180;-1252.17;229.965;1577.7;78.9072;-1185.09;235.378;238.129
1557073546721508443;-1252.17;230.116;1577.89;79.5351;-1184.65;235.379;237.234
1557073546741557815;-1252.17;230.116;1577.89;79.5351;-1184.65;235.379;237.234
1557073546761521521;-1252.17;230.116;1577.89;79.5351;-1184.65;235.379;237.234
1557073546781366904;-1252.17;230.116;1577.89;79.5351;-1184.65;235.379;237.234
1557073546801404228;-1252.17;230.279;1578.08;80.1911;-1184.17;235.38;236.243
1557073546821431802;-1252.17;230.279;1578.08;80.1911;-1184.17;235.38;236.243
1557073546841559759;-1252.17;230.279;1578.08;80.1911;-1184.17;235.38;236.243
1557073546861589203;-1252.17;230.279;1578.08;80.1911;-1184.17;235.38;236.243
1557073546881363662;-1252.17;230.279;1578.08;80.1911;-1184.17;235.38;236.243
1557073546901435929;-1252.17;230.42;1578.27;80.8379;-1183.69;235.381;235.282
1557073546921432847;-1252.17;230.42;1578.27;80.8379;-1183.69;235.381;235.282
1557073546941545973;-1252.17;230.42;1578.27;80.8379;-1183.69;235.381;235.282
1557073546961572843;-1252.17;230.42;1578.27;80.8379;-1183.69;235.381;235.282
1557073546981362647;-1252.17;230.42;1578.27;80.8379;-1183.69;235.381;235.282
1557073547001406083;-1252.17;230.551;1578.45;81.4999;-1183.23;235.386;234.317
1557073547021425362;-1252.17;230.551;1578.45;81.4999;-1183.23;235.386;234.317
1557073547041538389;-1252.17;230.551;1578.45;81.4999;-1183.23;235.386;234.317
1557073547061571491;-1252.17;230.551;1578.45;81.4999;-1183.23;235.386;234.317
1557073547081369254;-1252.17;230.551;1578.45;81.4999;-1183.23;235.386;234.317
1557073547101409019;-1252.16;230.684;1578.63;82.1671;-1182.81;235.411;233.422
1557073547121429437;-1252.16;230.684;1578.63;82.1671;-1182.81;235.411;233.422
1557073547141565828;-1252.16;230.684;1578.63;82.1671;-1182.81;235.411;233.422
1557073547161567378;-1252.16;230.684;1578.63;82.1671;-1182.81;235.411;233.422
1557073547181430114;-1252.16;230.684;1578.63;82.1671;-1182.81;235.411;233.422
1557073547201415552;-1252.15;230.803;1578.81;82.8273;-1182.37;235.452;232.487
1557073547221360285;-1252.15;230.803;1578.81;82.8273;-1182.37;235.452;232.487
1557073547241523409;-1252.15;230.803;1578.81;82.8273;-1182.37;235.452;232.487
1557073547261576541;-1252.15;230.803;1578.81;82.8273;-1182.37;235.452;232.487
1557073547281405315;-1252.15;230.803;1578.81;82.8273;-1182.37;235.452;232.487
1557073547301356752;-1252.12;230.908;1578.99;83.4988;-1181.97;235.548;231.617
1557073547321354415;-1252.12;230.908;1578.99;83.4988;-1181.97;235.548;231.617
1557073547341422935;-1252.12;230.908;1578.99;83.4988;-1181.97;235.548;231.617
1557073547361390964;-1252.12;230.908;1578.99;83.4988;-1181.97;235.548;231.617
1557073547381473159;-1252.12;230.908;1578.99;83.4988;-1181.97;235.548;231.617
1557073547401410867;-1252.07;231.046;1579.19;84.1804;-1181.55;235.642;230.694
1557073547421435047;-1252.07;231.046;1579.19;84.1804;-1181.55;235.642;230.694
1557073547441421109;-1252.07;231.046;1579.19;84.1804;-1181.55;235.642;230.694
1557073547461493968;-1252.07;231.046;1579.19;84.1804;-1181.55;235.642;230.694
1557073547481371756;-1252.07;231.046;1579.19;84.1804;-1181.55;235.642;230.694
1557073547501439205;-1251.98;231.174;1579.38;84.8719;-1181.15;235.754;229.71
1557073547521382912;-1251.98;231.174;1579.38;84.8719;-1181.15;235.754;229.71
1557073547541413115;-1251.98;231.174;1579.38;84.8719;-1181.15;235.754;229.71
1557073547561562488;-1251.98;231.174;1579.38;84.8719;-1181.15;235.754;229.71
1557073547581359668;-1251.98;231.174;1579.38;84.8719;-1181.15;235.754;229.71
1557073547601427231;-1251.88;231.31;1579.57;85.5813;-1180.73;235.884;228.798
1557073547621438250;-1251.88;231.31;1579.57;85.5813;-1180.73;235.884;228.798
1557073547641595083;-1251.88;231.31;1579.57;85.5813;-1180.73;235.884;228.798
1557073547661560785;-1251.88;231.31;1579.57;85.5813;-1180.73;235.884;228.798
1557073547681362145;-1251.88;231.31;1579.57;85.5813;-1180.73;235.884;228.798
1557073547701416720;-1251.77;231.428;1579.77;86.2747;-1180.32;236.012;227.864
1557073547721419297;-1251.77;231.428;1579.77;86.2747;-1180.32;236.012;227.864
1557073547741582888;-1251.77;231.428;1579.77;86.2747;-1180.32;236.012;227.864
1557073547761554182;-1251.77;231.428;1579.77;86.2747;-1180.32;236.012;227.864
1557073547781356047;-1251.77;231.428;1579.77;86.2747;-1180.32;236.012;227.864
1557073547801406890;-1251.69;231.591;1579.96;86.9194;-1179.97;236.116;226.951
1557073547821429679;-1251.69;231.591;1579.96;86.9194;-1179.97;236.116;226.951
1557073547841575538;-1251.69;231.591;1579.96;86.9194;-1179.97;236.116;226.951
1557073547861548524;-1251.69;231.591;1579.96;86.9194;-1179.97;236.116;226.951
1557073547881355825;-1251.69;231.591;1579.96;86.9194;-1179.97;236.116;226.951
1557073547901435802;-1251.67;231.782;1580.12;87.5132;-1179.62;236.166;226.047
1557073547921446929;-1251.67;231.782;1580.12;87.5132;-1179.62;236.166;226.047
1557073547941575115;-1251.67;231.782;1580.12;87.5132;-1179.62;236.166;226.047
