time (NSec);Turtlebot Base Quaternion (q_w);q_x;q_y;q_z;Turtlebot Base Position (t_x);t_y;t_z;
1560686425308400876;0.00248461;0.0142364;0.0075771;0.999867;0.012521;3.10251;0.0977193;
1560686425316755264;0.002492;0.0144901;0.00765331;0.999863;0.0125359;3.10249;0.0977192;
1560686425325089864;0.00248061;0.0143977;0.00760441;0.999864;0.0125285;3.10251;0.0977221;
1560686425333325955;0.00248367;0.0143914;0.00759101;0.999865;0.012526;3.1025;0.0977148;
1560686425350007056;0.00245545;0.0143845;0.00760063;0.999865;0.0125289;3.10249;0.0977206;
1560686425358407738;0.0024848;0.0143886;0.00761265;0.999864;0.0125202;3.1025;0.0977217;
1560686425366738664;0.00245918;0.0142961;0.00758253;0.999866;0.0125193;3.1025;0.0977179;
1560686425375080792;0.00246249;0.014252;0.00758796;0.999867;0.0125143;3.10251;0.0977195;
1560686425383348756;0.00248579;0.0143671;0.00763608;0.999865;0.012516;3.1025;0.097719;
1560686425400083198;0.00250329;0.0143309;0.00760742;0.999865;0.0125228;3.10251;0.0977216;
1560686425408398643;0.00252155;0.0143625;0.00760654;0.999865;0.0125299;3.10251;0.0977169;
1560686425416747069;0.00246874;0.0142967;0.00761058;0.999866;0.0125167;3.1025;0.0977141;
1560686425425063630;0.00246915;0.014242;0.00752146;0.999867;0.0125234;3.10252;0.0977256;
1560686425433412949;0.00250415;0.0144804;0.00766984;0.999863;0.0125217;3.1025;0.0977166;
1560686425449977840;0.00247859;0.0143657;0.00760916;0.999865;0.0125177;3.1025;0.0977209;
1560686425458427362;0.00247177;0.0143281;0.00759359;0.999865;0.0125225;3.1025;0.0977191;
1560686425466788768;0.00247875;0.0143732;0.00762351;0.999865;0.0125231;3.10249;0.0977162;
1560686425475100040;0.00248183;0.0144119;0.00763518;0.999864;0.0125263;3.1025;0.0977199;
1560686425483442523;0.00247301;0.0142737;0.00756923;0.999866;0.0125226;3.10251;0.0977195;
1560686425500085754;0.00246938;0.0143226;0.0076197;0.999865;0.0125237;3.1025;0.0977153;
1560686425508425857;0.0024897;0.0144414;0.00764004;0.999863;0.0125217;3.10251;0.0977262;
1560686425516743766;0.00250605;0.0143252;0.0075938;0.999865;0.0125214;3.1025;0.0977181;
1560686425525091858;0.00248513;0.0143792;0.00760389;0.999865;0.0125269;3.1025;0.0977234;
1560686425533357884;0.00249372;0.0144526;0.00760431;0.999864;0.0125238;3.1025;0.0977241;
1560686425541649292;0.00249089;0.0144883;0.00765913;0.999863;0.012525;3.1025;0.0977232;
